,aID,company_name,vacancies,post_time,result,sentences,成就感,學習成長,創新,薪資,福利,管理制度,工作氛圍,同事互動,主管風格,工作地點,公司規模,工作環境,產業前景,輪調,外派,出差,引擎,馬力,避震,外觀,操控,安全,堅固,配備,價錢,科技,品質,折舊,品牌,空間,保養,續航,尺寸,車種,驅動,變速箱,電資,機械,製造,車輛工程,品管,多元性,企業社會責任,企業永續目標,面試,徵才,實習,工作,離職,轉職,新鮮人,畢業,出路,能力,招募人員,正向,負向,p_year_month
2008,1269,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,製程,2023.02.19,工作性質是維護產線，較難有成就感，工作步調快，需跟設備、製造部門打好關係會比較好做事，常常需應付HL心會有點累，進行專案的流程冗長繁雜，除了要填表格送單申請，沒填過沒人教真的不知道怎麼做，花很多時間在這種瑣事上，專案的進行也要找製程整合的人來評估（有時候會遇到人很難找或不同人標準不ㄧ的狀況）。顧的機台好不好很吃運氣，撈data做報告的速度要練，剛開始會有mentor制度還不錯，此外要找到調適壓力的管道很重要,顧的機台好不好很吃運氣，撈data做報告的速度要練，剛開始會有mentor制度還不錯，此外要找到調適壓力的管道很重要,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2023-02
2009,1270,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,製程工程師,2023.02.13,工作內容大致上是提升產品良率，異常處理，維持產線正常運作，SPEC編寫，SPC 監控。異常發生時要負責分析和撰寫報告，專案管理，需要降低生產成本，提高生產速度。。臨機應變能力要好，老闆要報告會要很急，平常大部分時間都在開會，要自己找時間進產線學習，不會有人逼你和監控你，必須自己安排好時間,工作內容大致上是提升產品良率，異常處理，維持產線正常運作，SPEC編寫，SPC 監控,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-02
2010,1270,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,製程工程師,2023.02.13,工作內容大致上是提升產品良率，異常處理，維持產線正常運作，SPEC編寫，SPC 監控。異常發生時要負責分析和撰寫報告，專案管理，需要降低生產成本，提高生產速度。。臨機應變能力要好，老闆要報告會要很急，平常大部分時間都在開會，要自己找時間進產線學習，不會有人逼你和監控你，必須自己安排好時間,異常發生時要負責分析和撰寫報告，專案管理，需要降低生產成本，提高生產速度,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2023-02
2011,1270,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,製程工程師,2023.02.13,工作內容大致上是提升產品良率，異常處理，維持產線正常運作，SPEC編寫，SPC 監控。異常發生時要負責分析和撰寫報告，專案管理，需要降低生產成本，提高生產速度。。臨機應變能力要好，老闆要報告會要很急，平常大部分時間都在開會，要自己找時間進產線學習，不會有人逼你和監控你，必須自己安排好時間,臨機應變能力要好，老闆要報告會要很急，平常大部分時間都在開會，要自己找時間進產線學習，不會有人逼你和監控你，必須自己安排好時間,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-02
2012,1271,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,工程師,2023.02.12,工作內容較為routing ，上升空間較少，與傳言的台商的薪資、外商的工時完全相符，但我也做了兩年，公司同事彼此都有一定的革命情感，可能很苦吧，最常抱團去公司附近的ktv 唱歌。。建議新人要審慎思考後再來，因為偏辛苦，我是來到新單位才發現自己薪水偏可憐，但公司的飲食不錯，尤其同一層零食櫃有夠飽！,工作內容較為routing ，上升空間較少，與傳言的台商的薪資、外商的工時完全相符，但我也做了兩年，公司同事彼此都有一定的革命情感，可能很苦吧，最常抱團去公司附近的ktv 唱歌,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-02
2013,1271,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,工程師,2023.02.12,工作內容較為routing ，上升空間較少，與傳言的台商的薪資、外商的工時完全相符，但我也做了兩年，公司同事彼此都有一定的革命情感，可能很苦吧，最常抱團去公司附近的ktv 唱歌。。建議新人要審慎思考後再來，因為偏辛苦，我是來到新單位才發現自己薪水偏可憐，但公司的飲食不錯，尤其同一層零食櫃有夠飽！,建議新人要審慎思考後再來，因為偏辛苦，我是來到新單位才發現自己薪水偏可憐，但公司的飲食不錯，尤其同一層零食櫃有夠飽,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2023-02
2014,1272,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,製程工程師,2023.02.12,"我是owner管一個製程，這裡很特別的是，蜜月期非常明顯，當然前一個月有新人訓練的關係，導致跟其他部門的新人都混得很好，那一個月是我在美光在歡樂的時光，每天上課上到五點準時下班在跟組員一起去后里夜市覓食。

新人訓練結束後才是惡夢開始，老鳥欺壓新人，主管早會電人，每天都是者種噩夢日常，主管常常早上要我準備檢討報告，晚上邀請一堆M2 M3來電你，真的很慘
另外新人訓練根本沒什麼幫助......。周圍也是有朋友撐下來，但也是待個兩三年就離職，我覺得自己也滿厲害的，那段時間都有心理諮商，因為美光的主管也習慣這種氣氛，就是學長學姊制很嚴重，很像軍隊的管理...",我是owner管一個製程，這裡很特別的是，蜜月期非常明顯，當然前一個月有新人訓練的關係，導致跟其他部門的新人都混得很好，那一個月是我在美光在歡樂的時光，每天上課上到五點準時下班在跟組員一起去后里夜市覓食,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-02
2015,1272,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,製程工程師,2023.02.12,"我是owner管一個製程，這裡很特別的是，蜜月期非常明顯，當然前一個月有新人訓練的關係，導致跟其他部門的新人都混得很好，那一個月是我在美光在歡樂的時光，每天上課上到五點準時下班在跟組員一起去后里夜市覓食。

新人訓練結束後才是惡夢開始，老鳥欺壓新人，主管早會電人，每天都是者種噩夢日常，主管常常早上要我準備檢討報告，晚上邀請一堆M2 M3來電你，真的很慘
另外新人訓練根本沒什麼幫助......。周圍也是有朋友撐下來，但也是待個兩三年就離職，我覺得自己也滿厲害的，那段時間都有心理諮商，因為美光的主管也習慣這種氣氛，就是學長學姊制很嚴重，很像軍隊的管理...","新人訓練結束後才是惡夢開始，老鳥欺壓新人，主管早會電人，每天都是者種噩夢日常，主管常常早上要我準備檢討報告，晚上邀請一堆M2 M3來電你，真的很慘
另外新人訓練根本沒什麼幫助......",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2023-02
2016,1272,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,製程工程師,2023.02.12,"我是owner管一個製程，這裡很特別的是，蜜月期非常明顯，當然前一個月有新人訓練的關係，導致跟其他部門的新人都混得很好，那一個月是我在美光在歡樂的時光，每天上課上到五點準時下班在跟組員一起去后里夜市覓食。

新人訓練結束後才是惡夢開始，老鳥欺壓新人，主管早會電人，每天都是者種噩夢日常，主管常常早上要我準備檢討報告，晚上邀請一堆M2 M3來電你，真的很慘
另外新人訓練根本沒什麼幫助......。周圍也是有朋友撐下來，但也是待個兩三年就離職，我覺得自己也滿厲害的，那段時間都有心理諮商，因為美光的主管也習慣這種氣氛，就是學長學姊制很嚴重，很像軍隊的管理...",周圍也是有朋友撐下來，但也是待個兩三年就離職，我覺得自己也滿厲害的，那段時間都有心理諮商，因為美光的主管也習慣這種氣氛，就是學長學姊制很嚴重，很像軍隊的管理...,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2023-02
2017,1273,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,廠務工程師,2023.02.04,"一般巡檢抄錶
還有用電的分析
緊急異常排除
很少發包工項
PM項目比較少
系統算是很穩定
若還有不清楚的可以私下問我
或者我幫內推。跟台廠比起來 工作算是輕鬆

沒什麼責任重大的工事
但要小心景氣不好畢竟是美商還是會裁員
建議一開始薪資拉高","一般巡檢抄錶
還有用電的分析
緊急異常排除
很少發包工項
PM項目比較少
系統算是很穩定
若還有不清楚的可以私下問我
或者我幫內推",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2023-02
2018,1273,台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,廠務工程師,2023.02.04,"一般巡檢抄錶
還有用電的分析
緊急異常排除
很少發包工項
PM項目比較少
系統算是很穩定
若還有不清楚的可以私下問我
或者我幫內推。跟台廠比起來 工作算是輕鬆

沒什麼責任重大的工事
但要小心景氣不好畢竟是美商還是會裁員
建議一開始薪資拉高","跟台廠比起來 工作算是輕鬆

沒什麼責任重大的工事
但要小心景氣不好畢竟是美商還是會裁員
建議一開始薪資拉高",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2023-02
