,item1,item2,value,class
48,離職,成就感,0,招募資訊
49,轉職,成就感,0,招募資訊
50,新鮮人,成就感,0,招募資訊
51,畢業,成就感,0,招募資訊
52,出路,成就感,0,招募資訊
53,能力,成就感,0,招募資訊
54,招募人員,成就感,2,招募人員
55,正向,成就感,9,情緒
56,負向,成就感,5,情緒
57,成就感,學習成長,1,成長價值
58,學習成長,學習成長,40,成長價值
59,創新,學習成長,0,成長價值
60,薪資,學習成長,7,經濟報酬
61,福利,學習成長,7,經濟報酬
62,管理制度,學習成長,10,經濟報酬
63,工作氛圍,學習成長,2,人際價值
64,同事互動,學習成長,5,人際價值
65,主管風格,學習成長,5,人際價值
66,工作地點,學習成長,2,組織安全與安定
67,公司規模,學習成長,6,組織安全與安定
68,工作環境,學習成長,1,組織安全與安定
69,產業前景,學習成長,1,組織安全與安定
70,輪調,學習成長,2,變化性
71,外派,學習成長,3,變化性
72,出差,學習成長,0,變化性
73,引擎,學習成長,0,產品與服務
74,馬力,學習成長,2,產品與服務
75,避震,學習成長,0,產品與服務
76,外觀,學習成長,0,產品與服務
77,操控,學習成長,0,產品與服務
78,安全,學習成長,0,產品與服務
79,堅固,學習成長,0,產品與服務
80,配備,學習成長,0,產品與服務
81,價錢,學習成長,0,產品與服務
82,科技,學習成長,0,產品與服務
83,品質,學習成長,0,產品與服務
84,折舊,學習成長,0,產品與服務
85,品牌,學習成長,2,產品與服務
86,空間,學習成長,0,產品與服務
87,保養,學習成長,0,產品與服務
88,續航,學習成長,0,產品與服務
89,尺寸,學習成長,0,產品與服務
90,車種,學習成長,0,產品與服務
91,驅動,學習成長,0,產品與服務
92,變速箱,學習成長,1,產品與服務
93,電資,學習成長,0,科系專業
94,機械,學習成長,0,科系專業
95,製造,學習成長,1,科系專業
96,車輛工程,學習成長,0,科系專業
97,品管,學習成長,0,科系專業
98,多元性,學習成長,6,公司文化與價值
99,企業社會責任,學習成長,0,公司文化與價值
100,企業永續目標,學習成長,0,公司文化與價值
101,面試,學習成長,0,招募資訊
102,徵才,學習成長,2,招募資訊
103,實習,學習成長,2,招募資訊
104,工作,學習成長,14,招募資訊
105,離職,學習成長,0,招募資訊
106,轉職,學習成長,0,招募資訊
107,新鮮人,學習成長,0,招募資訊
108,畢業,學習成長,2,招募資訊
109,出路,學習成長,0,招募資訊
110,能力,學習成長,18,招募資訊
111,招募人員,學習成長,5,招募人員
112,正向,學習成長,26,情緒
113,負向,學習成長,21,情緒
114,成就感,創新,0,成長價值
115,學習成長,創新,0,成長價值
116,創新,創新,3,成長價值
117,薪資,創新,0,經濟報酬
118,福利,創新,0,經濟報酬
119,管理制度,創新,0,經濟報酬
120,工作氛圍,創新,0,人際價值
121,同事互動,創新,0,人際價值
122,主管風格,創新,0,人際價值
123,工作地點,創新,0,組織安全與安定
124,公司規模,創新,0,組織安全與安定
125,工作環境,創新,0,組織安全與安定
126,產業前景,創新,1,組織安全與安定
127,輪調,創新,0,變化性
128,外派,創新,0,變化性
129,出差,創新,0,變化性
130,引擎,創新,0,產品與服務
131,馬力,創新,0,產品與服務
132,避震,創新,0,產品與服務
133,外觀,創新,0,產品與服務
134,操控,創新,0,產品與服務
135,安全,創新,0,產品與服務
136,堅固,創新,0,產品與服務
137,配備,創新,0,產品與服務
138,價錢,創新,0,產品與服務
139,科技,創新,0,產品與服務
140,品質,創新,0,產品與服務
141,折舊,創新,0,產品與服務
142,品牌,創新,1,產品與服務
143,空間,創新,0,產品與服務
144,保養,創新,1,產品與服務
145,續航,創新,0,產品與服務
146,尺寸,創新,0,產品與服務
147,車種,創新,0,產品與服務
148,驅動,創新,0,產品與服務
149,變速箱,創新,0,產品與服務
150,電資,創新,0,科系專業
151,機械,創新,0,科系專業
152,製造,創新,0,科系專業
153,車輛工程,創新,0,科系專業
154,品管,創新,0,科系專業
155,多元性,創新,0,公司文化與價值
156,企業社會責任,創新,0,公司文化與價值
157,企業永續目標,創新,0,公司文化與價值
158,面試,創新,0,招募資訊
159,徵才,創新,0,招募資訊
160,實習,創新,1,招募資訊
161,工作,創新,0,招募資訊
162,離職,創新,0,招募資訊
163,轉職,創新,0,招募資訊
164,新鮮人,創新,0,招募資訊
165,畢業,創新,0,招募資訊
166,出路,創新,0,招募資訊
167,能力,創新,0,招募資訊
168,招募人員,創新,0,招募人員
169,正向,創新,1,情緒
170,負向,創新,0,情緒
171,成就感,薪資,0,成長價值
172,學習成長,薪資,7,成長價值
173,創新,薪資,0,成長價值
174,薪資,薪資,121,經濟報酬
175,福利,薪資,38,經濟報酬
176,管理制度,薪資,24,經濟報酬
177,工作氛圍,薪資,3,人際價值
178,同事互動,薪資,6,人際價值
179,主管風格,薪資,10,人際價值
180,工作地點,薪資,0,組織安全與安定
181,公司規模,薪資,16,組織安全與安定
182,工作環境,薪資,4,組織安全與安定
183,產業前景,薪資,5,組織安全與安定
184,輪調,薪資,0,變化性
185,外派,薪資,3,變化性
186,出差,薪資,0,變化性
187,引擎,薪資,0,產品與服務
188,馬力,薪資,1,產品與服務
189,避震,薪資,0,產品與服務
190,外觀,薪資,0,產品與服務
191,操控,薪資,0,產品與服務
192,安全,薪資,0,產品與服務
193,堅固,薪資,0,產品與服務
194,配備,薪資,0,產品與服務
195,價錢,薪資,0,產品與服務
196,科技,薪資,2,產品與服務
197,品質,薪資,0,產品與服務
198,折舊,薪資,0,產品與服務
199,品牌,薪資,8,產品與服務
200,空間,薪資,1,產品與服務
201,保養,薪資,0,產品與服務
202,續航,薪資,0,產品與服務
203,尺寸,薪資,0,產品與服務
204,車種,薪資,2,產品與服務
205,驅動,薪資,0,產品與服務
206,變速箱,薪資,0,產品與服務
207,電資,薪資,0,科系專業
208,機械,薪資,0,科系專業
209,製造,薪資,0,科系專業
210,車輛工程,薪資,0,科系專業
211,品管,薪資,0,科系專業
212,多元性,薪資,1,公司文化與價值
213,企業社會責任,薪資,0,公司文化與價值
214,企業永續目標,薪資,0,公司文化與價值
215,面試,薪資,11,招募資訊
216,徵才,薪資,1,招募資訊
217,實習,薪資,2,招募資訊
218,工作,薪資,14,招募資訊
219,離職,薪資,2,招募資訊
220,轉職,薪資,0,招募資訊
221,新鮮人,薪資,5,招募資訊
222,畢業,薪資,4,招募資訊
223,出路,薪資,0,招募資訊
224,能力,薪資,3,招募資訊
225,招募人員,薪資,10,招募人員
226,正向,薪資,57,情緒
227,負向,薪資,52,情緒
228,成就感,福利,0,成長價值
229,學習成長,福利,7,成長價值
230,創新,福利,0,成長價值
231,薪資,福利,38,經濟報酬
232,福利,福利,66,經濟報酬
233,管理制度,福利,15,經濟報酬
234,工作氛圍,福利,3,人際價值
235,同事互動,福利,2,人際價值
236,主管風格,福利,11,人際價值
237,工作地點,福利,0,組織安全與安定
238,公司規模,福利,5,組織安全與安定
239,工作環境,福利,6,組織安全與安定
240,產業前景,福利,2,組織安全與安定
241,輪調,福利,1,變化性
242,外派,福利,3,變化性
243,出差,福利,0,變化性
244,引擎,福利,0,產品與服務
245,馬力,福利,0,產品與服務
246,避震,福利,0,產品與服務
247,外觀,福利,0,產品與服務
248,操控,福利,0,產品與服務
249,安全,福利,0,產品與服務
250,堅固,福利,0,產品與服務
251,配備,福利,0,產品與服務
252,價錢,福利,0,產品與服務
253,科技,福利,0,產品與服務
254,品質,福利,0,產品與服務
255,折舊,福利,0,產品與服務
256,品牌,福利,2,產品與服務
257,空間,福利,0,產品與服務
258,保養,福利,0,產品與服務
259,續航,福利,0,產品與服務
260,尺寸,福利,0,產品與服務
261,車種,福利,1,產品與服務
262,驅動,福利,0,產品與服務
263,變速箱,福利,0,產品與服務
264,電資,福利,1,科系專業
265,機械,福利,0,科系專業
266,製造,福利,0,科系專業
267,車輛工程,福利,0,科系專業
268,品管,福利,0,科系專業
269,多元性,福利,3,公司文化與價值
270,企業社會責任,福利,0,公司文化與價值
271,企業永續目標,福利,0,公司文化與價值
272,面試,福利,0,招募資訊
273,徵才,福利,1,招募資訊
274,實習,福利,1,招募資訊
275,工作,福利,10,招募資訊
276,離職,福利,2,招募資訊
277,轉職,福利,0,招募資訊
278,新鮮人,福利,2,招募資訊
279,畢業,福利,0,招募資訊
280,出路,福利,0,招募資訊
281,能力,福利,2,招募資訊
282,招募人員,福利,11,招募人員
283,正向,福利,72,情緒
284,負向,福利,38,情緒
285,成就感,管理制度,0,成長價值
286,學習成長,管理制度,10,成長價值
287,創新,管理制度,0,成長價值
288,薪資,管理制度,24,經濟報酬
289,福利,管理制度,15,經濟報酬
290,管理制度,管理制度,85,經濟報酬
291,工作氛圍,管理制度,5,人際價值
292,同事互動,管理制度,10,人際價值
293,主管風格,管理制度,21,人際價值
294,工作地點,管理制度,2,組織安全與安定
295,公司規模,管理制度,9,組織安全與安定
296,工作環境,管理制度,0,組織安全與安定
297,產業前景,管理制度,5,組織安全與安定
298,輪調,管理制度,2,變化性
299,外派,管理制度,3,變化性
300,出差,管理制度,0,變化性
301,引擎,管理制度,0,產品與服務
302,馬力,管理制度,0,產品與服務
303,避震,管理制度,0,產品與服務
304,外觀,管理制度,0,產品與服務
305,操控,管理制度,0,產品與服務
306,安全,管理制度,0,產品與服務
307,堅固,管理制度,0,產品與服務
308,配備,管理制度,0,產品與服務
309,價錢,管理制度,0,產品與服務
310,科技,管理制度,1,產品與服務
311,品質,管理制度,0,產品與服務
312,折舊,管理制度,0,產品與服務
313,品牌,管理制度,3,產品與服務
314,空間,管理制度,0,產品與服務
315,保養,管理制度,0,產品與服務
316,續航,管理制度,0,產品與服務
317,尺寸,管理制度,0,產品與服務
318,車種,管理制度,0,產品與服務
319,驅動,管理制度,0,產品與服務
320,變速箱,管理制度,0,產品與服務
321,電資,管理制度,2,科系專業
322,機械,管理制度,0,科系專業
323,製造,管理制度,1,科系專業
324,車輛工程,管理制度,0,科系專業
325,品管,管理制度,0,科系專業
326,多元性,管理制度,6,公司文化與價值
327,企業社會責任,管理制度,0,公司文化與價值
328,企業永續目標,管理制度,0,公司文化與價值
329,面試,管理制度,2,招募資訊
330,徵才,管理制度,0,招募資訊
331,實習,管理制度,9,招募資訊
332,工作,管理制度,16,招募資訊
333,離職,管理制度,3,招募資訊
334,轉職,管理制度,0,招募資訊
335,新鮮人,管理制度,0,招募資訊
336,畢業,管理制度,1,招募資訊
337,出路,管理制度,0,招募資訊
338,能力,管理制度,11,招募資訊
339,招募人員,管理制度,22,招募人員
340,正向,管理制度,52,情緒
341,負向,管理制度,48,情緒
342,成就感,工作氛圍,1,成長價值
343,學習成長,工作氛圍,2,成長價值
344,創新,工作氛圍,0,成長價值
345,薪資,工作氛圍,3,經濟報酬
346,福利,工作氛圍,3,經濟報酬
347,管理制度,工作氛圍,5,經濟報酬
348,工作氛圍,工作氛圍,29,人際價值
349,同事互動,工作氛圍,8,人際價值
350,主管風格,工作氛圍,5,人際價值
351,工作地點,工作氛圍,0,組織安全與安定
352,公司規模,工作氛圍,2,組織安全與安定
353,工作環境,工作氛圍,4,組織安全與安定
354,產業前景,工作氛圍,2,組織安全與安定
355,輪調,工作氛圍,0,變化性
356,外派,工作氛圍,0,變化性
357,出差,工作氛圍,0,變化性
358,引擎,工作氛圍,0,產品與服務
359,馬力,工作氛圍,0,產品與服務
360,避震,工作氛圍,0,產品與服務
361,外觀,工作氛圍,0,產品與服務
362,操控,工作氛圍,0,產品與服務
363,安全,工作氛圍,0,產品與服務
364,堅固,工作氛圍,0,產品與服務
365,配備,工作氛圍,1,產品與服務
366,價錢,工作氛圍,0,產品與服務
367,科技,工作氛圍,0,產品與服務
368,品質,工作氛圍,0,產品與服務
369,折舊,工作氛圍,0,產品與服務
370,品牌,工作氛圍,0,產品與服務
371,空間,工作氛圍,0,產品與服務
372,保養,工作氛圍,0,產品與服務
373,續航,工作氛圍,0,產品與服務
374,尺寸,工作氛圍,0,產品與服務
375,車種,工作氛圍,0,產品與服務
376,驅動,工作氛圍,0,產品與服務
377,變速箱,工作氛圍,0,產品與服務
378,電資,工作氛圍,1,科系專業
379,機械,工作氛圍,0,科系專業
380,製造,工作氛圍,1,科系專業
381,車輛工程,工作氛圍,0,科系專業
382,品管,工作氛圍,0,科系專業
383,多元性,工作氛圍,2,公司文化與價值
